timestamp,handle,displayName,followers,competitorMentioned,sentiment,sentimentScore,likes,retweets,replies,tweetUrl,text
2026-07-17T05:25:00.000+08:00,"@vaibhavparulkar","Vaibhav Parulkar","425","SemiAnalysis",positive,0.67,,,1,"https://x.com/vaibhavparulkar/status/2077867117572210887","1/ Nobody talks about the real physical bottleneck in advanced semiconductor scaling. It's not logic design—it's advanced packaging capacity and capital equipment. Fabs are a paper victory without integrated back-ends. @semianalysis @ASML_News #AdvancedPackaging"
2026-07-17T05:07:21.000+08:00,"@DoggyCapital","Doggy Cap","1,336","SemiAnalysis",negative,-1.531,,,1,"https://x.com/DoggyCapital/status/2077862677259444665","The MS figure counts delays as cancellations, and it’s adding up the ‘total value’ of each ‘cancellation’ - along with a host of other bad assumptions.  SemiAnalysis did a good podcast on this recently.   https:// podcasts.apple.com/us/podcast/sem ianalysis-weekly/id1877544643?i=1000776173964 …"
2026-07-17T04:51:11.000+08:00,"@PodcastAlphaX","Podcast Alpha","11.2K","SemiAnalysis",neutral,0,2,,,"https://x.com/PodcastAlphaX/status/2077858608855777589","Data Point - $50B OpenAI compute spend, loosely confirmed  Matt Turck  @mattturck : ""I read OpenAI is spending about $50 billion in compute this year.""  Sachin Katti  @sk7037 's answer: ""That sounds about right.""  Not a denial. Not a confirmation either. Katti runs OpenAI's compute"
2026-07-17T04:49:36.000+08:00,"@incogwitness","incognito witness","38","SemiAnalysis",neutral,0,,,,"https://x.com/incogwitness/status/2077858210602533210","semianalysis this"
2026-07-17T01:59:00.000+08:00,"@vaibhavparulkar","Vaibhav Parulkar","425","SemiAnalysis",positive,2.5,,,,"https://x.com/vaibhavparulkar/status/2077815278231253317","ASML confirming Intel shipping High-NA EUV logic for Panther Lake proves that advanced lithography scaling remains the ultimate physical gateway to high-volume AI hardware. @semianalysis @ASML_News #SiliconSovereignty Source:"
2026-07-17T01:49:13.000+08:00,"@ayume_orac","おらくる","255","SemiAnalysis",neutral,0,,,,"https://x.com/ayume_orac/status/2077812815264690226","2nm、3nm製品見たいなぁ〜 semianalysis記事出してくれんかな？"
2026-07-17T01:09:00.000+08:00,"@stalkermustang","Igor Kotenkov","3,368","SemiAnalysis",negative,-4.404,2,,,"https://x.com/stalkermustang/status/2077802693880426782","@dylan522p  can you please weight in? I smell bullshit  (I'm semianalysis subscriber, I pay my yearly fee)"
2026-07-17T00:42:00.000+08:00,"@vaibhavparulkar","Vaibhav Parulkar","425","SemiAnalysis",positive,2.5,,,,"https://x.com/vaibhavparulkar/status/2077795898172854336","This is not normal. Building domestic fabs is a paper victory if we must still ship every wafer overseas for back-end advanced packaging. Tower Semiconductor's $4B Japan expansion shows where the moat is. @semianalysis #SiliconSovereignty Source:"
2026-07-17T00:22:56.000+08:00,"@EhrmantrautCap_","Ehrmantraut Capital","15.5K","SemiAnalysis",negative,-7.297,19,1,4,"https://x.com/EhrmantrautCap_/status/2077791099855192343","In my eyes, the selloff in high-beta stocks is mostly sentiment driven, and not driven by fundamental changes.  We have seen some FUD lines in the past few weeks: >  $META  announcing they will rent out excess capacity compute. Panic across the board because people think they will"
2026-07-17T00:07:13.000+08:00,"@Balder13946731","Balder","31.8K","SemiAnalysis",neutral,0,28,,30,"https://x.com/Balder13946731/status/2077787143972487288","NVDA今天跌3%，起因是SemiAnalysis一篇文章说产品可能delay，逼得黄仁勋罕见亲自下场硬刚辟谣。细品一下这个画面：一家几十人的research"
2026-07-17T00:03:06.000+08:00,"@vaibhavparulkar","Vaibhav Parulkar","425","SemiAnalysis",positive,1.28,,,1,"https://x.com/vaibhavparulkar/status/2077786111053816264","3/ A nation that imports 100% of its HBM advanced packaging materials and relies on imported chemicals to keep dead soil in suspension is fundamentally fragile. True resilience requires bringing both our advanced packaging and our soil biology back to life. @semianalysis"
2026-07-17T01:29:02.000+08:00,"@CyberTruckFan9","CyberTruck Owner","1,251","Sravan Kundojjala",neutral,0,,,1,"https://x.com/CyberTruckFan9/status/2077807735903781096","@grok  did TSMC forecast its capex in 2027 and 2028?"
2026-07-17T01:28:17.000+08:00,"@CyberTruckFan9","CyberTruck Owner","1,251","Sravan Kundojjala",neutral,0,,,1,"https://x.com/CyberTruckFan9/status/2077807546015092917","@grok  did TSMC say over what time period?"
